Position,rating,title,review
11,평점5,노트북 타건감을 좋아해서 mx keys,"노트북 타건감을 좋아해서 mx keys를 구매하게 되었습니다.
키보드가 묵직해서 타자칠 때 전혀 밀리지 않습니다. 안정감 진짜 미쳤어요.

그리고 박스도 2중으로 되어있어서 가격값 하는구나.. 싶은 마음이 들었어요.

저같은 경우는 버티컬과 함께 샀는데 이 경우 동글을 하나만 꽂아도 두개의 기기가 연결되어서 너무 편리했습니다.

그리고 다중페어링(?) 기능 너무 편해요!! 노트북과 아이패드 아이폰에 연결해서 사용중입니다. 기기변경할때 살짝의 로딩시간이 걸리긴 하지만 그래도 아이폰과 아이패드 화면에 직접 타자를 치는 것보다 훨씬 편리해서 이 기능 아주 잘 쓰고 있습니다.

컴퓨터 사용하실 때 여러 기기 사용하시는 분들 꼭 사세요,, 넘 추천드려요"
12,평점4,"사용환경 - 노트북 : 윈도우10, 내장 블루투스로 연결 - 데스크탑 : 윈도우10, 타사 저가 블루투스 동글은 등록이 안 됨 -> 제품에 동","사용환경
- 노트북 : 윈도우10, 내장 블루투스로 연결
- 데스크탑 : 윈도우10, 타사 저가 블루투스 동글은 등록이 안 됨
-> 제품에 동봉된 로지텍 전용 동글 사용하여 연결

좋아요
- 디자인 깔끔하고 재질이 좋아 튼튼하고 짱짱한 느낌이 있음.
- 백라이트 밝기를 여러 단계로 조절할 수 있음
- 내장 배터리 채용, 사용기간이 길어 충전에 신경이 많이 안 쓰임.
- 블루투스 연결이 빠르고 안정적으로 동작.
- 제품이 무게감 있고 고무패킹의 접지력이 좋아 잘 밀리지 않음.
- 펑션키를 스위칭 할 수 있어 다양한 프로그램에서 단축키 사용하는
데 문제 없고 로지텍 소프트웨어로 커스텀 설정도 가능함.
- 타이핑 소음이 아주 작아 시끄럽지 않음.

아쉬워요
- 로지텍 USB 동글이 타사 블루투스 제품은 인식 못하는 것 같음.
노트북 내장 블루투스로는 MX 키보드가 잘 잡혀서 문제가 없었는데
데스크탑에서 타사 블루투스 동글로 MX 키보드, Master 마우스 등록
이 안돼서 결국 제품에 동봉된 로지텍 동글을 꽂고 전용 드라이버와
프로그램을 설치하여 등록, 사용할 수 있었음.
로지텍 동글 하나로 로지텍 MX 키보드, Master 마우스는 인식되는데
타사 블루투스 헤드셋은 인식이 안돼서 타사 블루투스 동글을 따로 사
용해야 데스크탑에서 키보드, 마우스, 헤드셋을 사용할 수 있었음.
- 키 버튼 모양은 타이핑하기 나쁘지 않은 것 같은데 타이핑할 때 약간
의 저항감이 있음. 물 흐르듯 자연스럽게 타이핑이 되면 좋을텐데 약간
꾹 눌러줘야 되는 느낌이라, 좋은 것 같기도 하고 불편한 것 같기도 해
서 아리송함. 일단 적응이 필요할 듯.

팜레스트는
- 장점은 말랑말랑함. 디자인이 깔끔함.
- 단점은 무게가 가벼워 자꾸 이리저리 움직이고 길이와 폭이 짧아 양손
을 제대로 커버하지 못함. 때가 잘 탈것 같아 보임.

총평은요
- 회사에서 사용하는데 어쨌든 잘 연결되고 기존 키보드보다 타이핑 잘
되고 조용해서 완전 만족합니다.
불편한 점은 있지만 문제라고 할 정도는 또 아니라서..
잘 쓸 것 같아요ㅎㅎ
- 팜레스트는 비추합니다. 쓸 만은 하지만 불편함이 더 큰 것 같아요.
무게를 더 늘리고 바닥 접지력이 개선돼야 할 것 같네요."
13,평점5,2~3만원짜리 아이락스 키보드만 사용하다가 처음으로 13만원 가까이 하는 제품을 구입해봤는데 고급스럽고 만족스럽습니다. 단지 한영 전환키 누를 때 자주 스페이스바가 눌리는게 불편합,"2~3만원짜리 아이락스 키보드만 사용하다가 처음으로 13만원 가까이 하는 제품을 구입해봤는데 고급스럽고 만족스럽습니다. 단지 한영 전환키 누를 때 자주 스페이스바가 눌리는게 불편합니다.

묵직함
키감좋은
두께나 각도 좋음
3개까지 기기 전환하는거 너무 편함."
14,평점5,[편의성]-멀티페어링 : 구매의 가장 큰 이유. 컴퓨터/노트북 전환하는데 1초 걸려 업무 생산성을 많이 높힘.[타건감]-펜타그래프 : 기존 펜타그래프 끝판왕이라는 레노보 슬림 패드,"[편의성]
-멀티페어링 : 구매의 가장 큰 이유. 컴퓨터/노트북 전환하는데 1초 걸려 업무 생산성을 많이 높힘.

[타건감]
-펜타그래프 : 기존 펜타그래프 끝판왕이라는 레노보 슬림 패드와 아이락스 등 펜타그래프를 사용했음. 회사 선배가 쓰길래 내가 쳐보니까 뭔가 손에 힘이 더 들어가는 느낌이고, 너무 비싸서 안삼. 물론 레노버 패드도 비싸긴 함.
-타 펜타그래프 대비 장점 : 아이락스보다 흔들림이 없으며, 펜타그래프보다 키보드 휨이 없는 장점이 있음.
- 소음 : 소음을 매우 싫어하고, 사무실 분위기 때문에 눈치보여서 늘 펜타그래프와 저소음적축을 씀. 저적보다도 조용하고, 아이락스/레노버보다 조용함. 이미 충분히 조용하지만 더 조용함.
- 쇠소리 : 다른 제품은 엔터키가 넓어서 그런지 찰랑 거리는 쇠소리가 나는데 이 키보드는 없음

[미관]
-검/회 : 얇고, 슬림하며 색감도 사무실 인테리어를 더 나아보이게 함. 원래는 아예 검정색으로 사려다가 먼지가 너무 잘보여서 이 색으로 샀는데 만족함

[가격과 정품]
-결론적으로 가격 저렴, 정품 맞음. 다른 스마트스토어 대비 저렴한 이유는 2020년 생산모델이라서 그런 듯. 해킹 이슈 때문에 로지볼트로 최근에 바뀌었는데 이 모델은 유니파일 모델임. 그래서 해킹 이슈는 있음.


다른 분들도 즐거운 타건생활/사무실 근무 하세요~"
15,평점5,"지금 이 키보드 연결해서 후기 쓰고 있는데, 일단 기분은 좋습니다. 고대하던 물건을 받았고, 문제에 하자 없는 것 확인했으니까요. 태풍이 중간에 걸려 있어서 배송을 좀 기다려야했지","지금 이 키보드 연결해서 후기 쓰고 있는데, 일단 기분은 좋습니다. 고대하던 물건을 받았고, 문제에 하자 없는 것 확인했으니까요. 태풍이 중간에 걸려 있어서 배송을 좀 기다려야했지만 싸게 잘 구입한 것 같습니다. 한국 정품은 너무 비싸고 굳이 한글 자판이 필요하지 않아서 후기 찾아보고 이 제품으로 구입했는데 저는 만족합니다. 가격이 좀 후덜덜해서 가성비를 내려면 제가 잘 사용을 해야할 것 같은데 앞으로 좀 공부해서 기능들 좀 익혀서 잘 사용해보려 합니다. 일단 외관이나 제품은 하자 없고 좋은 제품으로 받았고, 제주도까지 안전하고 깨끗하게 잘 도착했습니다. 맥에는 아직 적용 안해봤지만 윈도우에서는 잘 돌아가고, 블루투스 3개까지 연결할 수 있어서 패드까지 연결해서 사용할 수 있게 되어 앞으로 활용에 기대가 됩니다. (리뷰 추가) 사용을 조금 해보니 이 키보드는 장점이 정말 많은 것 같습니다. 기본적인 키감 등 모든 것은 기본 이상이고, 무엇보다 책상에서 밀리지 않습니다. 제가 고급 키보드를 잘 쓰지 않아서 그렇기도 하겠지만, 이렇게 견고하고 손에 감기면서 밀리지 않는 키보드는 처음이네요. 그리고 배터리 관련해서 리뷰한 사람들이 적어서 추가하는데요, 배터리를 충전하면 오른쪽에 초록불이 들어오고 깜박입니다. 완충이 되면 깜박임이 멈추고요. 아무쪼록 쓸수록 만족감이 높아지는 제품이길 기대해봅니다."
16,평점5,"병행제품이라 한글 각인이 없지만 영문정각이 주는 심플한 멋은 오히려 매력입니다.스페이스바의 길이가 일반 키보드와 조금 달라, 처음에는 한/영 전환에 애를 먹지만 금방 적응됩니다.그","병행제품이라 한글 각인이 없지만 영문정각이 주는 심플한 멋은 오히려 매력입니다.
스페이스바의 길이가 일반 키보드와 조금 달라, 처음에는 한/영 전환에 애를 먹지만 금방 적응됩니다.
그리고 넘버패드 '-' 키 위에 윈도우 락 키가 위치하고 있으니,
작업 중 낭패를 보기 싫으신 분들은 Logi Option 프로그램으로 키 매핑 하시기 바랍니다.

윈도우 피씨, 갤럭시 탭, 아이폰에 물려뒀는데 전체적으로 전환속도도 빠르고 인식도 잘 됩니다.

키 레이아웃은 홍보하는 것 처럼 자동전환이 되는 것 같습니다. (iOS 한영전환-->Caps lock)

전체적으로 만족합니다."
17,평점4,"로지텍 mx keys 구매 후기23.5.10 구매, 23.5.12 배송 완료/ 팜레스트와 함께 구매빠른 배송 굿 mx keys vs 마이크로ooo 서피스 키보드둘 다 예전부터 필자","로지텍 mx keys 구매 후기
23.5.10 구매, 23.5.12 배송 완료/ 팜레스트와 함께 구매
빠른 배송 굿

mx keys vs 마이크로ooo 서피스 키보드
둘 다 예전부터 필자 마음속의 경쟁 상대였음,
가격대 비슷한 편, 타건감이 서로 다르긴 하지만 좋다는 리뷰를 봐서.. 매우 고민
고민에 고민에 고민 3번쯤 더 하다가 한번 로지텍 키보드 사보자! 하는 마음으로 구매

mx 기계식 키보드도 있길래 그 제품으로 구매할까 고민했지만
가격대가 있는 키보드는 구매해 본 적이 없는 키보드 어린이라서 무난하게 펜타그래프 키보드 도전!
하지만 현재 mx keys로 리뷰 작성 중인데 기계식 키보드도 사고 싶다..

필자는 타자를 세게 탁탁탁 치는 편인데 얘는 살살 토도독 잘 쳐짐
키보드 구매할 때 무게는 고려하지 않았음 어차피 거의 집에서 사용할 용도이기 때문,
키보드가 뭐 얼마나 무거울까 어차피 하는 생각이었는데 직접 실물로 받아보니까 무거움
생각보다 무게가 나가서 조금 놀람

Logi Option+ 키보드 블루투스로 연결하니 자동으로 설치 안내해줘서 설치함
버튼마다 다양한 옵션으로 커스텀해서 사용 가능"
18,평점4,사무용으로,"인생의 하루 1/4는 사무실에서 데스크 작업을 하는데 좋은걸 쓸 필요가 있겠다 싶어기존에 쓰던 보급형 무선 키보드 마우스를 던져버리고 내돈내산으로 사무용 키마셋으로 이 제품을 구매했어요. MX KEY 와 MX MASTER3 인데요.아직 키보드는 적응 하지 못했지만, 마우스는 그립감 부터 착 감기고 너무 좋네요.키보드는 일단 손에 익는 데에 버튼 위치라던지 버튼의 촉감 등이 적응이 필요하다고 보아요.근데 쓰면 쓸 수록 착착 감기는 키감이 마음에 드네요.기존 쓰던거는 무선 무소음형 로지텍 키보드 마우스 세트 였는데 약 4-5만원 하는 제품으로 기억해요.이건 회사 보급품 이었구요.지금은 제 돈 써서 제 컴의 키보드 마우스를 바꾸었어요.다만 보통 예전 MS 마우스 등을 사용 할 때에도 무상보증 AS가 3년은 되었던 것 같은데 요 10만원 가까이 하는 마우스가 보증기간이 1년 밖에 안된다는 점이 아쉽네요.손이 많이 가는 제품인 만큼 잔고장도 많을 텐데, 아쉬워요.저는 확인 하지 못하고 의래 2-3년은 하겠지 했는데 제품등록 하고보니 그걸 알게 되어, 사실 1년 보증을 알았다면 구매를 고려 했을 수도 있겠다 싶네요.제품은 정말 좋아요.1년 써보고 어떤지는 판단 해 보아야 겠어요.사무실 업무 업그레이드를 위해 자기돈을 투자하면서 까지 업무효율을 늘리고자 하는 나란 직원은 회사에서 상을 줘도 될것 같아요. >_<"
19,평점5,키보드는 역시 로지텍비싼거 큰맘먹고 주문했는데 진짜 돈값해요다만 생각보다 조금 무거운거(들 일이 별로 없어서 ㄱㅊ)랑백라이트?없어도 된다 생각했는데 글자랑 문양(?)들에서 빛이 나,"키보드는 역시 로지텍
비싼거 큰맘먹고 주문했는데 진짜 돈값해요
다만 생각보다 조금 무거운거(들 일이 별로 없어서 ㄱㅊ)랑
백라이트?없어도 된다 생각했는데 글자랑 문양(?)들에서 빛이 나오는 구조라 키스킨을 낀 채로 라이트가 없으면 잘 안 보여요. 그래서 라이트 켠 채로 쓰게 됩니다; (약간 배터리 걱정하게 되는ㅎㅎ;;)
그리고 팜레스트는 생각보다 낮긴 한데 키보드 사이즈에 딱 맞아서 좋아요. 좀 비싸긴 하지만 금방 떨어질것같은 그런 소재도 아니고요.
암튼 전체적으로 다 만족스럽습니다 >,<"
20,평점5,기계에 관심이 없어서 잘 모르지만타건감도 좋고 무엇보다 예쁩니다!!!애플키보드랑 고민했는데 이게 더 예쁜 것 같아요다만 한영키 전환이 아직도 적응이 안되었고맥os랑 윈도우 왔다갔다,"기계에 관심이 없어서 잘 모르지만
타건감도 좋고 무엇보다 예쁩니다!!!
애플키보드랑 고민했는데 이게 더 예쁜 것 같아요

다만 한영키 전환이 아직도 적응이 안되었고
맥os랑 윈도우 왔다갔다 할 때 한영전환이 달라서 살짝 헷갈립니다

그것만 제외하면 딱 가격 값하는 것 같아요
좋습니다 사세요!"
